TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,EV/EBITDA RATIO,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP,PRESENT VALUE,DILLUTED PRESENT VALUE,PERCENT DROP SINCE SEPTEMBER,TURNOVER_SINCE_HIGH
CNC,Centene Corporation,62.97,-538.6792335766423,-13.05,42.91,-8.554537614366243,1.4925681,4.540985484801862,N/A,23824396288,6847499776,23740999680,-8242229248,48.078,16371000320,2.5107655502392348,2.5023923444976077,62.76,25.08,0.034,13.867033975500053,493797000,USD,United States,31983228928,buy,8.201,0.4535951327433629,572.4048455098565,9.090119827058226,Healthcare,Healthcare Plans,N/A,0.00392,17.286669761215148,19.993136365743922,0.4306207875202071,0.14320003361705316
CABO,"Cable One, Inc.",45.28,undefined,-57.55,N/A,undefined,0.15591978,0.9831938983846373,N/A,3199451904,261257504,177886000,-52715488,31.357,3120471040,1.145748987854251,1.0222672064777327,40.4,39.52,0.1597,46.05398800215694,5672853,USD,United States,230601488,none,4.476,0.39505736981465134,undefined,undefined,Communication Services,Telecom Services,N/A,0.10441,165.4776805716937,176.05350467041436,-2.644589047348422,5.20749488837451
BMBL,Bumble Inc.,2.72,undefined,-5.74,N/A,undefined,0.6211705,1.5118169104122985,N/A,824600768,234666496,245588992,-200349088,1.883,597268992,1.0708661417322836,1.0,2.54,2.54,0.1183,1.7991596609791918,130431168,USD,United States,445938080,none,2.894,0.2106259097525473,undefined,undefined,Communication Services,Internet Content & Information,N/A,0.02913,13.252375561620822,23.65127392450298,-9.030100624600852,6.21753216991816
COLL,"Collegium Pharmaceutical, Inc.",35.58,7.426525547445257,2.06,-4.01,0.20872753084444232,3.613733,3.469416446639153,N/A,1661930880,332619008,421752992,-708239968,13.004,929689984,1.2189105858170606,1.1832819458718737,34.54,29.19,0.20879999,10.25532695403764,32433779,USD,United States,1129992960,none,3.91,0.25980066445182726,36.97157651532256,1.0391112005430736,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,0.01155,105.268243981084,155.9750492303702,8.840628616392085,1.8089119063184096
DXC,DXC Technology Company,8.39,0.937007299270073,0.1,3.17,0.11168144210608735,0.463088,1.6809065594190358,N/A,4149595904,809000000,1736999936,403079552,10.625,4247000064,1.0620253164556963,1.0316455696202531,8.15,7.9,0.19860001,4.991354190978824,162080263,USD,United States,1333920384,hold,2.856,0.2746153846153846,46.76935310189428,5.5744163411077805,Technology,Information Technology Services,N/A,0.014989999,15.323164428756872,31.329561853365654,-11.777078884608212,4.193455658447444
HOG,"Harley-Davidson, Inc.",25.55,12.5675401459854,1.93,-0.39,0.4918802405473738,0.8746736,15.96976066079248,N/A,3821547008,168418624,1084227968,-1595902848,10.3,2200221952,1.4950263311878291,1.4774722059684027,25.25,17.09,0.2035,1.5998987425483504,105268302,USD,United States,2680130816,hold,7.899,0.6437652811735941,10.41802677538236,0.40775055872338006,Consumer Cyclical,Recreational Vehicles,N/A,0.0112,22.979541876791096,54.729331534665185,4.928129773022386,5.222895929298831
GDRX,"GoodRx Holdings, Inc.",2.76,0.7361167883211679,0.06,6.78,0.26670898127578546,1.4595767,3.415448486709003,N/A,1240385024,84616376,235710000,-675326736,0.696,541350976,1.559322033898305,1.5169491525423728,2.685,1.77,0.0773,0.8080929959097206,104711186,USD,United States,911036736,hold,11.337,0.8281227173119066,9.914180346898236,3.5920943285863176,Healthcare,Health Information Services,N/A,0.1286,4.046879985480652,5.868415634449774,-3.157891496286617,4.458169722191858
GTM,ZoomInfo Technologies Inc.,2.83,3.8347445255474453,0.4,3.44,1.3550334012535141,0.5244123,2.3505182705264436,N/A,2227552000,354837504,176800000,-592414080,0.6,1570300032,1.1141732283464567,1.0255905511811023,2.605,2.54,0.16309999,1.2039897904584964,294718034,USD,United States,769214080,hold,6.736,0.3209147212958552,11.542483144439338,4.078615952098706,Technology,Software - Application,N/A,0.12686,4.563889623245084,6.692825273320169,-6.600659184100138,5.493347997835789
RPAY,Repay Holdings Corporation,3.26,-61.28340875912408,-3.03,16.69,-18.798591643903094,0.4608028,5.913009424500688,N/A,623697088,45650376,43770000,-236346128,0.529,400272992,1.4173913043478261,1.3673913043478263,3.145,2.3,0.0806,0.5513267045528655,82800952,USD,United States,280116128,none,8.754,0.39255605381165914,11.15088442077033,3.4205166934878317,Technology,Software - Infrastructure,N/A,0.12133,15.031280145002153,23.766459492883417,-12.365592071838856,3.016971181683998
TASK,"TaskUs, Inc.",4.88,9.463131386861313,1.13,1.93,1.9391662677994495,1.521305,2.1887065257100904,N/A,842601664,81482872,152264992,-266247424,1.663,547964992,1.0929451287793952,1.0,4.465,4.465,0.1534,2.2296273815955123,36545511,USD,United States,418512416,hold,3.851,0.3702884615384615,18.671908721930887,3.8262108036743623,Technology,Information Technology Services,N/A,0.23014,5.042166859996281,5.599298640475111,-17.98319064815716,3.0279748174816876
